Iteración,Función de evaluación
1,33633.45053938727
2,33646.34810557145
3,33609.40851794867
4,33470.43456741034
5,33501.898714060226
6,33565.5837988975
7,33523.73206880208
8,33562.458644016806
9,33539.220287279604
10,33298.609595086644
11,33239.35389614865
12,33308.63290008284
13,33241.68963201278
14,33138.90278965206
15,32985.210334619136
16,32908.78187666683
17,32865.68379111127
18,32872.56662003553
19,32654.792952041786
20,32665.21792731858
21,32674.10352265949
22,32687.215596938924
23,32713.5200395276
24,32674.793464312865
25,32651.931883778525
26,32512.420900760608
27,32516.270804841053
28,32452.41585307237
29,32439.375916116045
30,32447.518720043507
31,32499.531578152055
32,32361.38725960281
33,32405.7893650622
34,32429.0277217994
35,32466.023377143763
36,32285.463879142677
37,32326.470127856148
38,32465.98111087407
39,32323.581954116547
40,32154.608056902318
41,32243.414385336626
42,31914.154143948712
43,32035.975352904927
44,31886.771782278276
45,31762.8238527622
46,31886.771782278276
47,31877.10827450507
48,31966.030983204408
49,31975.30912821092
50,31951.063239658783
51,32018.23751622534
52,31875.732360436625
53,31709.03823120429
54,31508.717553686784
55,31491.002752074415
56,31578.09855179346
57,31615.24641924576
58,31498.3838378656
59,31553.082158617573
60,31748.61046651854
61,31582.853821494013
62,31572.54644226028
63,31481.692310393177
64,31356.833638979297
65,31413.215800561768
66,31358.946504240186
67,31297.98567357325
68,31285.276400206458
69,31359.344857273347
70,31371.88727369978
71,31396.46468268592
72,31384.698021287935
73,31451.872297854494
74,31540.5143420384
75,31430.946646418077
76,31458.86098013786
77,31415.916374973283
78,31501.513569126808
79,31419.878686529097
80,31371.823765690475
81,31448.25222364278
82,31341.33830832875
83,31480.84929134667
84,31311.245097220646
85,31476.063692388343
86,31305.8187097997
87,31091.84286556565
88,31060.949613330267
89,31055.626976863852
90,31192.636050487126
91,31017.348471475205
92,31361.223768370317
93,30989.072714229857
94,31045.454875812327
95,30979.803639602258
96,31023.674067560307
97,31010.759119641407
98,31159.96269026806
99,31074.61407141009
100,31014.54979922794
101,31080.448338872804
102,31138.793466399286
103,31014.50241092196
104,31181.19654015429
105,30897.882019538127
106,30845.441685043144
107,30915.272919647265
108,30910.532722804564
109,30895.195515766347
110,30839.19093862689
111,30783.14337993088
112,30799.389096875195
113,30938.67656288527
114,31092.623861928827
115,30855.565943273436
116,31199.441240168548
117,30756.608238169705
118,30771.18063145745
119,30752.398949155366
120,30782.88440651709
121,30788.078916417722
122,30789.714126405765
123,30788.32325519622
124,30839.180728026546
