Iteración,Función de evaluación
1,36100.65002219402
2,36108.83961678736
3,35755.018568253996
4,35754.75018037258
5,35664.22489391262
6,35660.47492157207
7,35646.95143056479
8,35647.2198184462
9,35638.13616535028
10,35685.04458741618
11,35545.9474127156
12,35479.94735382778
13,35633.382783702466
14,35598.48468126576
15,35515.788116332566
16,35640.75433508499
17,35575.638710863714
18,35625.024709225065
19,35553.40963861793
20,35568.474159039404
21,35580.11663716707
22,35611.93675704996
23,35533.34698920017
24,35539.379596814324
25,35460.15905886324
26,35370.49888547539
27,35489.03621291337
28,35456.642192089814
29,35523.83535967333
30,35327.082519210955
31,35272.71961860791
32,35207.535753557546
33,35294.54511577466
34,35336.98786232706
35,35310.44234660466
36,35318.13389147051
37,35373.43459758645
38,35308.18613151829
39,35373.43459758645
40,35366.23335221244
41,35259.072386519
42,35288.569741065396
43,35255.71697617183
44,35231.014297290174
45,35223.32275242432
46,35221.067902282724
47,35225.77430817798
48,35218.81888569434
49,35178.43396171053
50,35134.898360465115
51,35239.298799009484
52,35179.581168952594
53,34884.418002353996
54,35006.18581645332
55,34949.87570738587
56,34988.090021612945
57,35020.942786506515
58,35045.645465388174
59,35024.09099861712
60,34762.2285428157
61,34977.96406108197
62,34913.21513830987
63,34906.36000532478
64,34901.152100447915
65,34675.04080734508
66,34443.25642593474
67,34456.628143438415
68,34483.17365916081
69,34663.34626535628
70,34540.75544134612
71,34355.352952792746
72,34319.77570596621
73,34264.085200777736
74,34237.6691583866
75,34298.327728997145
76,34355.1867379184
77,34136.902726258144
78,34102.22124734867
79,34003.696855040675
80,34203.422975917565
81,34014.3713429183
82,33817.337839859305
83,33831.748744927696
84,33866.43022383716
85,33919.221652321896
86,33713.48419594247
87,34067.30524447582
88,33635.31921020263
89,33629.887771503316
90,33644.27252142169
91,33567.808743932655
92,33588.88246041606
93,33687.40685272407
94,33638.26845877741
95,33728.79374523737
96,33632.235851163256
97,33879.24735658628
98,33631.95245196158
99,33804.454998094705
100,33604.43247631921
101,33651.93621832319
102,33513.49494864863
103,33537.27213464369
104,33549.77591398551
105,33533.671209870496
106,33534.21163432177
107,33451.2869659971
108,33335.09701424346
109,33299.256251738676
110,33265.456525746915
111,33287.043725944866
112,33309.76578471712
113,33398.23052323733
114,33246.53963908996
115,33212.57046674992
116,33426.29201279847
117,33258.27920401603
118,33375.79678354783
119,33249.083370997265
120,33254.17803671058
121,33234.32913597299
122,33584.8880538509
123,33244.78484870603
124,33127.7933425463
125,33125.51109619491
126,33131.54370380907
127,33317.43340576771
128,33131.631884467344
129,33154.81607771164
130,33149.915169297325
131,33356.06529454912
132,33163.76641637515
133,32796.655066381165
134,33025.734542940794
135,32776.78235804799
136,32943.23879310129
137,32951.16818115616
138,32741.076704927815
139,32674.10753036916
140,32674.019349710878
141,32731.208557192702
142,32546.710262524262
143,32573.1263049154
144,32628.619789975495
145,32556.896822383453
146,32546.636769221812
147,32655.41534951356
148,32608.71579679248
149,32590.966030158303
150,32696.481913329924
151,32741.99937158348
152,32790.6921510352
153,32597.913058603033
154,32591.37350158111
155,32596.804940280417
156,32886.29692379604
157,32586.130452402795
158,32589.880424743336
159,32470.377885113758
160,32477.853841952056
161,32713.344870885787
162,32483.428496119726
163,32466.676019935207
164,32522.366525123678
165,32420.71549397015
166,32551.482881897562
167,32403.507481021104
168,32439.08472784765
169,32518.37391939415
170,32526.353934089493
171,32445.720709373552
172,32383.557949970596
173,32580.596543094947
174,32348.87647106113
175,32321.4696084731
176,32278.30886196748
177,32278.378990163983
178,32172.24567643627
179,32326.70517282728
180,32127.186454466017
181,32494.297804460006
182,32332.923910845446
183,32154.593317054045
184,32039.982437542138
185,32026.025798066075
186,31981.69653712959
187,32101.199076759163
188,32007.463100756366
189,32136.1560335206
190,32017.402190249762
191,31998.282180163835
192,32222.1439161285
193,32019.35455489337
194,32026.301583338103
195,32135.08016362985
196,32055.096838157766
197,32096.311717901255
198,32133.559013670434
199,32139.523941375945
200,32143.40320908346
201,32279.11674716431
202,32182.350023346775
203,32084.371124983227
204,32067.98323164421
205,32013.00813499146
206,32045.121095665207
207,32062.329108614253
208,32078.842826222666
209,32072.291951876352
210,32152.773805921566
211,32075.263934101953
212,32058.055921152903
213,32131.11582916471
214,32238.680115024268
215,32373.63801051803
216,32427.57257398434
217,32182.989609835793
218,32139.777386361107
219,32104.200139534558
220,32120.588032873566
221,32088.47507219982
222,32102.431711675883
223,32157.40680832864
224,32276.817534784055
225,32141.545393292392
226,32104.12263869372
227,32096.621072604707
228,32092.42975264958
229,32011.52759544544
230,32031.37649618303
231,32071.880652065745
232,32028.40451395743
233,32294.250536712163
234,32335.07294571326
235,32028.33438576093
236,32036.838760741804
237,32021.387357316198
238,32112.347945590744
239,32139.967827923032
240,31968.30853510496
241,32075.406203313847
242,31968.591934306634
243,32043.097540296796
244,31961.73798451574
245,31963.992834657332
246,32080.984340817064
247,31950.14158757951
248,32058.920167871256
249,31902.008104621145
250,31886.96662877655
251,32003.958134936278
252,31992.238640571722
253,31819.029256153743
254,31798.591039103994
255,31946.22848727685
256,31715.57228218754
257,31759.881541157745
258,31690.319693153604
259,31740.93895470776
260,31825.512285978522
