Instancia,Mejor evaluación,Temperatura inicial,Temperatura final,Tiempo de ejecución,Número de Iteraciones
ch130,35144.510750520545,20,1.8181818181818232,3.2869489192962646,5000
ch130,36318.12384973621,20,1.8181818181818232,3.4738807678222656,5000
ch130,33358.6673016476,20,1.8181818181818232,3.233232259750366,5000
ch130,35637.731469031525,20,1.8181818181818232,3.230046033859253,5000
ch130,34379.42804809262,20,1.8181818181818232,3.2132315635681152,5000
ch130,31262.92311955382,20,1.8181818181818232,3.243342161178589,5000
ch130,35856.14202503227,150,1.973684210526327,3.3016109466552734,5000
ch130,36193.11270264757,150,1.973684210526327,3.249674081802368,5000
ch130,34799.67751274574,150,1.973684210526327,3.2045252323150635,5000
ch130,36574.26249595953,150,1.973684210526327,3.4839518070220947,5000
ch130,35360.46670320784,150,1.973684210526327,3.2104756832122803,5000
ch130,31570.580510180407,150,1.973684210526327,3.1752355098724365,5000
ch130,32402.936535627603,200,1.9801980198019897,3.238412380218506,5000
ch130,34915.39528842337,200,1.9801980198019897,3.25534725189209,5000
ch130,35790.64915653002,200,1.9801980198019897,3.230107545852661,5000
ch130,32685.432086141558,200,1.9801980198019897,3.297351837158203,5000
ch130,33371.82630882793,200,1.9801980198019897,3.2212183475494385,5000
ch130,32586.572379090198,200,1.9801980198019897,3.2457168102264404,5000
ch130,34571.26524389163,1000,1.9960079840319447,3.3456532955169678,5000
ch130,35315.39836655883,1000,1.9960079840319447,3.2877464294433594,5000
ch130,34975.887230316315,1000,1.9960079840319447,3.2326951026916504,5000
ch130,33466.18989684914,1000,1.9960079840319447,3.2583515644073486,5000
ch130,34514.659317574355,1000,1.9960079840319447,3.320651054382324,5000
ch130,34570.048318147456,1000,1.9960079840319447,3.249720811843872,5000
ch130,35714.5701581648,2000,1.9980019980020065,3.2617039680480957,5000
ch130,34621.77995947095,2000,1.9980019980020065,3.279015064239502,5000
ch130,35019.79572880459,2000,1.9980019980020065,3.289090156555176,5000
ch130,34281.866969072435,2000,1.9980019980020065,3.234804391860962,5000
ch130,36264.03329726306,2000,1.9980019980020065,3.201180934906006,5000
ch130,36997.31411969566,2000,1.9980019980020065,3.2292680740356445,5000
ch130,38948.795967164326,20,1.8181818181818232,3.4250032901763916,5000
ch130,32483.136204638547,20,1.8181818181818232,3.5037436485290527,5000
ch130,34706.016135390615,20,1.8181818181818232,3.257472038269043,5000
ch130,35912.19008315817,20,1.8181818181818232,3.220949649810791,5000
ch130,33831.13952928595,20,1.8181818181818232,3.287288188934326,5000
ch130,35676.95167836793,20,1.8181818181818232,3.185222864151001,5000
ch130,34313.070552920966,20,1.8181818181818232,3.1922314167022705,5000
ch130,36403.41224534673,20,1.8181818181818232,3.471815586090088,5000
ch130,35243.60898574494,20,1.8181818181818232,3.2608931064605713,5000
ch130,35414.36959196883,20,1.8181818181818232,3.238135576248169,5000
ch130,34399.15647563624,150,1.973684210526327,3.257880926132202,5000
ch130,34477.25546039059,150,1.973684210526327,3.2090489864349365,5000
ch130,32590.832692343465,150,1.973684210526327,3.2400310039520264,5000
ch130,36562.02857971975,150,1.973684210526327,3.1712706089019775,5000
ch130,36779.541998793866,150,1.973684210526327,3.1780121326446533,5000
ch130,35899.15942858638,150,1.973684210526327,3.2281346321105957,5000
ch130,33762.87099481898,150,1.973684210526327,3.2566943168640137,5000
ch130,34070.37289770175,150,1.973684210526327,3.228792667388916,5000
ch130,32719.451852563532,150,1.973684210526327,3.242474317550659,5000
ch130,36354.09884216367,150,1.973684210526327,3.1752371788024902,5000
ch130,32306.887583887667,200,1.9801980198019897,3.2278871536254883,5000
ch130,34346.71851233416,200,1.9801980198019897,3.191946268081665,5000
ch130,34702.31864195316,200,1.9801980198019897,3.2802329063415527,5000
ch130,33264.90971451263,200,1.9801980198019897,3.242642641067505,5000
ch130,35117.41005395068,200,1.9801980198019897,3.356870412826538,5000
ch130,36004.620361668334,200,1.9801980198019897,3.213667631149292,5000
ch130,33504.32074096755,200,1.9801980198019897,3.269198179244995,5000
ch130,35001.27894509396,200,1.9801980198019897,3.2120676040649414,5000
ch130,34612.37012046238,200,1.9801980198019897,3.1418497562408447,5000
ch130,34323.07299425925,200,1.9801980198019897,3.2093420028686523,5000
ch130,33988.0603050371,1000,1.9960079840319447,3.2058849334716797,5000
ch130,35727.64053846894,1000,1.9960079840319447,3.203352928161621,5000
ch130,34711.573272379435,1000,1.9960079840319447,3.3059706687927246,5000
ch130,33773.9755002498,1000,1.9960079840319447,3.235560894012451,5000
ch130,33339.90173452265,1000,1.9960079840319447,3.4152300357818604,5000
ch130,33650.30545994337,1000,1.9960079840319447,3.228299140930176,5000
ch130,32417.52227257503,1000,1.9960079840319447,3.288163423538208,5000
ch130,32152.885001522318,1000,1.9960079840319447,3.2755274772644043,5000
ch130,33913.86754677692,1000,1.9960079840319447,3.338252067565918,5000
ch130,33105.089936860415,1000,1.9960079840319447,3.2735633850097656,5000
ch130,33161.49290854159,2000,1.9980019980020065,3.103658437728882,5000
ch130,33730.184080795996,2000,1.9980019980020065,3.2093536853790283,5000
ch130,34069.70597934513,2000,1.9980019980020065,3.2133355140686035,5000
ch130,32411.35259285054,2000,1.9980019980020065,3.4505116939544678,5000
ch130,37004.39655504268,2000,1.9980019980020065,3.2269234657287598,5000
ch130,33392.06854241471,2000,1.9980019980020065,3.2045633792877197,5000
ch130,34443.945871540476,2000,1.9980019980020065,3.252061128616333,5000
ch130,34597.25976864675,2000,1.9980019980020065,3.240767240524292,5000
ch130,35607.041367088386,2000,1.9980019980020065,3.268542528152466,5000
ch130,34780.29230102345,2000,1.9980019980020065,3.28222918510437,5000
