Iteración,Función de evaluación
1,44184.465100278976
2,44073.83089648275
3,44016.422009420145
4,44003.64214223393
5,44210.31983188972
6,43799.806597671704
7,43971.21171130838
8,43286.646350113864
9,43260.28246902407
10,43236.137255092515
11,42915.99973366469
12,42887.53591324189
13,42900.73009102912
14,43311.243325247146
15,42834.02559240741
16,42845.58825012852
17,43793.8729933662
18,42941.287711424025
19,42840.2249228483
20,42947.487041864915
21,42959.04969958602
22,42885.27521622274
23,42959.04969958602
24,42870.5117082981
25,42656.94727300528
26,42634.83538181722
27,42433.536373168725
28,43393.38377412752
29,42490.04073870515
30,43232.81034283596
31,42559.308827368324
32,42546.324823689894
33,42391.96152436697
34,42322.6934357038
35,42422.74173968959
36,42404.867769764256
37,42577.48704283104
38,42389.889256319395
39,42346.720182916164
40,42335.157525195056
41,42289.18680578204
42,42207.337476320055
43,42222.31598976492
44,42197.46482007737
45,41708.60287967746
46,41995.48874898879
47,41600.58272262606
48,41682.43205208804
49,41592.80638280888
50,41651.0959954571
51,42370.35998500517
52,41579.61220502164
53,41604.032907990164
54,41617.0169116686
55,41893.10911119084
56,41407.49554467527
57,41302.236563149665
58,41026.14436362743
59,40953.87822944961
60,40966.658096635816
61,41654.94117252359
62,41454.137581469186
63,40556.14486241779
64,39987.35243897415
65,39957.92537788757
66,40321.05767399931
67,39982.83141375339
68,40333.53259245351
69,40258.92361327563
70,39969.84741007496
71,40006.44146258419
72,40251.76620622944
73,40002.42752012712
74,40072.819755201905
75,40064.391418870684
76,39636.983448869876
77,39987.68462756999
78,40490.06288689783
79,39724.50934213922
80,39773.00165347778
81,39832.11528302054
82,40392.0733379272
83,40081.45396912284
84,40388.35410078126
85,39885.70234156739
86,40324.94326912827
87,39828.24149197787
88,40313.85505849343
89,40313.85505849343
90,39912.37379259206
91,39882.9050675401
92,40660.45866973639
93,39970.43096080945
94,39478.918604935374
95,39343.59257565897
96,39790.71822662835
97,39373.061300710935
98,39786.9392167108
99,40226.14073873889
100,39622.399986813245
101,39208.915722403806
102,39656.041373373184
103,39528.45501632344
104,39348.38253949951
105,39656.041373373184
106,39344.24175168021
107,39015.240187324984
108,39306.28288964262
109,39352.56144621727
110,39196.50138091698
111,39108.93114748785
112,38919.552575807225
113,38614.66818256023
114,38621.36154405355
115,38690.214017949846
116,38716.879507165584
117,38847.68187342013
118,39257.3928367693
119,38727.02197731218
120,38655.390650074434
121,38425.10805431026
122,38143.18925815578
123,38274.69175549227
124,38462.7285520754
125,38462.7285520754
126,38014.76977421755
127,37633.540435923125
128,37845.475338816526
129,37632.94483552457
130,37923.9875378422
131,37622.80236537797
132,37430.342606619015
133,37638.75438076191
134,37438.31403823344
135,37298.08639920347
136,37538.28325495626
137,37648.7875779036
138,37617.6256931231
139,37471.81510419346
140,37487.4649708841
141,37299.72803685747
142,37412.81081509006
143,37019.85239198065
144,37299.08461159664
145,37294.33461279198
146,37233.43418795173
147,37395.1022918652
148,37476.83484154029
149,37072.62751495016
150,36802.96016931618
151,36855.735292285695
152,36867.65423707626
153,36859.68280546183
154,36837.770248880326
155,36847.91271902692
156,36951.091547533084
157,37091.668600413635
158,37591.759548718626
159,37459.385937445724
160,37090.026962759635
161,37121.65083814923
162,37095.46676604799
163,37358.914583098296
164,37366.173257191214
165,37608.703802039454
166,37080.56082823424
167,37385.17540757732
168,37208.98031217247
169,37200.74943104099
170,36961.94802249402
171,36825.92981788611
172,36755.829152782055
173,36627.31377461376
174,36700.65203556837
175,37415.896545998854
176,36652.939048187036
177,36781.45442635534
178,36661.88128445333
179,36651.73881430674
180,36736.43195148143
181,36856.11139311387
182,36736.43195148143
183,36725.42736117645
184,36855.0174715794
185,37014.29517901347
186,36740.33329899021
187,36324.47667653838
188,36239.78353936369
189,36525.77250780961
190,36507.7867510746
191,36252.97771715092
192,36187.81085833616
193,36332.638849237104
194,35735.50512341576
195,36003.50833512668
196,35902.30284562811
197,35758.235473306166
198,36125.95281033825
199,35859.28468473521
200,36178.82397865484
201,36011.58816953379
202,36316.26713429486
203,36121.303376180076
204,35774.32993948787
205,35902.749423426096
206,35632.65096485606
207,36001.9179456594
208,35704.94819863484
209,35717.60571010341
210,35862.43370100435
211,35896.0191080792
212,35728.091544134746
213,36047.63083805437
214,35799.72287137249
215,35776.032114357484
216,36055.90775923431
217,36173.98439303766
218,36735.87951531628
219,35720.585125876205
220,35766.55584528922
221,35988.58833758712
222,35671.637824977835
223,36074.36932852093
224,35770.45576443141
225,35682.642415282804
226,35929.14212130871
227,35727.08481345911
228,36013.17020368978
229,35735.59956272523
230,35570.58861354879
231,35372.459257678085
232,35500.97463584638
233,35274.65963177497
234,35678.6460943797
235,35594.198925694596
236,35373.47757122855
237,35560.6486002209
238,35273.41335645629
239,35708.72274308301
240,35376.10052487681
241,35560.299225767616
242,35939.66941221725
243,35374.46256788533
244,35760.89284128966
245,35330.8742060458
246,35425.716841254856
247,35320.01291095837
248,35288.28317648208
249,35301.26718016051
250,35278.53683027011
251,35508.40359930374
252,35755.32282322507
253,35476.37422069967
254,35541.984647320416
255,35265.34265248288
256,35062.267862907596
257,35380.79216888379
258,35203.9468375394
259,34900.710259655025
260,34887.726255976595
261,35118.277350735785
262,35423.87381981839
263,34347.139312239364
264,34335.26894863101
265,34713.72718655004
266,34311.52584035345
267,34617.63571212596
268,34365.78560929125
269,34357.49655976647
270,34603.435643088844
271,34810.44505523197
272,34339.94377942955
273,34441.35770902298
274,34442.63094785008
275,34544.31635823668
276,34537.78116985911
277,34402.30356436921
278,34386.54333393164
279,34296.892270442855
280,35149.97170847081
281,34604.967421042835
282,34310.08644823009
283,34353.958661789235
284,34771.24846806211
285,35087.64005042638
286,34256.27336885064
287,34454.402724721345
288,34287.897244240245
289,34202.942498992896
290,34160.99098238739
291,34626.92031445437
292,34263.678150807915
293,34206.96170180041
294,33881.504532711144
295,34232.20571141127
296,33879.862895057144
297,34739.05115615261
298,34295.86132758083
299,34184.91001108414
300,33607.55064853122
301,33617.69311867782
302,33756.731739962794
303,33988.77998682565
304,33363.44855292046
305,33409.41927233348
306,33257.59102002076
307,33342.35424437425
308,33282.46103847738
309,33331.40833937575
310,33545.90885552768
311,33275.28922910438
312,33482.62627101264
313,34134.47749019984
314,33736.451248936406
315,34113.19976737072
316,33710.59861573111
317,33736.451248936406
318,33377.97639752491
319,33318.45830250761
320,33368.33587177805
321,33250.86852613586
322,33272.980417323924
323,33392.547500767665
324,33514.31634318617
325,33345.35482153257
326,33402.696778448575
327,33749.78774101438
328,33648.82080481603
329,33569.39283211206
330,33556.973951759355
331,33458.20556804412
332,33332.66958490149
333,33293.92003512256
334,33494.97062174662
335,33490.65630142437
336,33252.28133618101
337,33718.21066824799
338,33444.6837884424
339,33346.76763157772
340,33337.23608142836
341,34203.54629104961
342,33240.36239139045
343,33351.67450451239
344,33423.82666540421
345,33544.07695677377
346,33334.059648465416
347,33736.79115200852
348,33319.15371065166
349,33449.09313031446
350,33994.796563276795
351,33417.97165010524
352,33526.49075255992
353,33419.04394618862
354,33403.916935005145
355,33879.111765558315
356,33994.796563276795
357,33688.66951865239
358,33482.87487166162
359,34279.00111161046
360,33746.56168065246
361,33482.87487166162
362,33769.211192412055
363,33481.30885331364
364,33522.22850022694
365,33329.29618079826
366,33511.556162913046
367,33695.80390866026
368,33310.21147438537
369,33541.62956183708
370,33271.36977698798
371,33675.356239592715
372,33639.08711402007
373,33784.606812979444
374,33584.68634410562
375,33314.42128597468
376,33343.52193787981
377,33356.13300134147
378,34010.85624102142
379,33675.00346714086
380,33706.67916361471
381,33550.856226664226
382,33317.969331490065
383,33190.31779941991
384,33759.66988925176
385,33568.77603733893
386,33453.765616470206
387,33275.08102377339
388,33356.882082539014
389,33319.85415619915
390,33319.85415619915
391,33404.8089014465
392,34287.593055174206
393,33622.76854923951
394,33321.10043151784
395,33604.93121148313
396,33519.22978738854
397,33449.00376286548
398,33439.71323725806
399,33331.58626554918
400,33532.88527419769
401,33673.11864426112
402,33575.68836115994
403,33535.95884435631
404,34299.32516452424
405,33378.185820051265
406,33781.64374730957
407,33286.81313312342
408,33351.97999193817
409,33319.277419428305
