Iteración,Función de evaluación
1,45753.4560331962
2,45660.85857844002
3,46147.61365931525
4,45934.99129109358
5,45909.94763923688
6,46159.82078057759
7,46419.10917113342
8,45757.22756387784
9,45845.846723236
10,45763.05424930416
11,45808.88445752053
12,45860.19514320821
13,45607.83849835719
14,45857.711639697896
15,45786.719847491804
16,45696.45765771535
17,45427.34117407224
18,45360.21574087383
19,45314.32942537518
20,45749.31778536232
21,45909.48246867582
22,45503.36850707607
23,45334.23729112022
24,45425.83696185271
25,45544.334756602315
26,45588.91065594861
27,45321.452426424075
28,45189.748637898694
29,45258.7717371125
30,45355.2669733297
31,45301.61506673881
32,45479.50135807651
33,45536.888751591614
34,45236.57717487204
35,45167.554075658234
36,45317.50469833744
37,45148.81147150387
38,45743.96451480451
39,45497.46549534488
40,45032.32072500736
41,45211.202074141984
42,45357.876239830155
43,45264.85398073288
44,45319.80193716944
45,45386.927370367834
46,45347.3274588028
47,45386.927370367834
48,45133.13609619411
49,45285.856171553154
50,45396.33305540582
51,45143.50209838324
52,45406.699057594946
53,45323.99942266818
54,44801.98105763426
55,44933.68484615964
56,44746.38231015642
57,44893.0564758446
58,44430.57143618232
59,44996.53624550709
60,44668.12646514521
61,44078.6542664271
62,43972.355437964005
63,44035.66053956325
64,44078.6542664271
65,43984.099527028826
66,44471.299588862064
67,44029.98584252748
68,43984.099527028826
69,43916.97409383042
70,44392.258538094706
71,43871.143885614045
72,43755.400340753375
73,43815.20632070581
74,43981.62978561607
75,43908.12041611242
76,42939.48752584349
77,43008.5106250573
78,43025.98562024691
79,43071.81582846328
80,43423.73299821852
81,43056.15950395301
82,43198.32242186525
83,43098.61976094692
84,42641.71895632414
85,42788.39312201231
86,42278.237156987365
87,42630.1543267426
88,42258.147354161745
89,42824.11216348651
90,42287.89858169548
91,42048.87423910585
92,42327.54796144768
93,42032.62713991748
94,42307.594407095596
95,41852.53955008462
96,42180.75183646148
97,41812.415939431856
98,41731.424239223554
99,42059.63652560041
100,42059.63652560041
101,41509.03231146354
102,42079.72174127579
103,41367.132390916006
104,41327.532479350964
105,41066.136204824405
106,41688.21979197573
107,41340.37356960777
108,41129.44130642364
109,40894.04783589928
110,40853.95764542422
111,40835.75666290439
112,41023.059198907606
113,40952.247409400894
114,40826.96342104467
115,41175.61744488568
116,40722.08244209603
117,40931.35555715191
118,41070.736465937036
119,40640.328466639505
120,40919.002188981336
121,40914.57023240166
122,40756.81921313601
123,40948.53349444448
124,40860.67614777009
125,41018.65476333074
126,40660.418269465124
127,40579.98789010524
128,40493.489795701826
129,40553.29577565425
130,40461.06709194747
131,40683.459019707494
132,40423.36392951053
133,40375.68747480749
134,40315.7530706425
135,40209.73986447013
136,40438.20788741469
137,40296.23795887355
138,40243.3117486136
139,40154.79190803357
140,40397.58215077397
141,40260.80511420594
142,40485.34675208467
143,40347.30320860936
144,40236.391884717654
145,40673.92561605342
146,40322.88997912107
147,40130.85288361811
148,40095.07841996878
149,40309.54558313619
150,40142.75487467182
151,40338.49779728375
152,40187.30710367556
153,40107.988521103725
154,40276.984027270424
155,40371.38876885257
156,40542.730970067496
157,40115.819999856445
158,39936.99823165188
159,40360.34359086815
160,39727.17447416108
161,40315.42466877862
162,39724.38975627736
163,39945.70516904685
164,40054.588617727386
165,39757.632445641895
166,40199.67420054165
167,39797.46541088693
168,40032.848223563764
169,39664.58377632493
170,39973.04224361133
171,39667.36849420865
172,39922.041859037054
173,39566.17331472787
174,39775.99707221867
175,40023.07411935067
176,39874.378342532844
177,39939.36140203169
178,39788.56524248789
179,39839.516046465906
180,39525.03077237943
181,39633.68603111156
