Iteración,Función de evaluación
1,19475.049646624804
2,19454.33633913134
3,19477.85652767295
4,19362.008839622296
5,19355.20062022261
6,19362.008839622296
7,19344.29322538342
8,19318.403011193717
9,19290.39235313805
10,19288.1870249224
11,19266.42564880559
12,19272.943632929186
13,19274.674045873042
14,19265.106797824308
15,19204.15638126442
16,19185.36570778962
17,19151.478645951745
18,19231.408457595273
19,19154.497187779572
20,19172.608237760967
21,19119.84787695729
22,19186.972694744178
23,19115.59795940189
24,19191.557489770334
25,19126.611321700988
26,19076.50840703996
27,19028.226708305643
28,18986.44131708277
29,18948.154257601782
30,18903.341734735626
31,18872.194878771326
32,18949.026266906665
33,18929.97561043622
34,18863.94648170387
35,18863.342159555352
36,18855.84527136976
37,18882.751462010296
38,18856.00822817452
39,18880.716655331427
40,18857.85597853457
41,18931.959520207783
42,18854.826458966032
43,18774.216845306324
44,18799.400624633414
45,18799.400624633414
46,18705.387381156397
47,18613.783194914286
48,18694.4284186378
49,18652.87274727621
50,18597.098337789994
51,18602.519628692513
52,18573.959512543002
53,18599.668068862946
54,18543.807620672596
55,18637.283127341274
56,18612.637084822523
57,18535.360696788433
58,18570.673226515253
59,18481.36657320721
60,18494.5551635254
61,18394.719680070073
62,18407.961350910075
63,18406.057587054052
64,18468.82322174329
65,18337.420488551314
66,18308.85513120915
67,18314.665160682336
68,18323.2549894856
69,18303.428481844454
70,18303.259171562866
71,18301.05554113148
72,18309.72174869112
73,18300.028440551017
74,18303.486168711617
75,18297.009898723187
76,18287.922154293436
77,18266.78020881188
78,18268.4805945262
79,18283.263722797616
80,18270.73432077037
81,18196.774885524454
82,18233.548991202355
83,18216.54422095917
84,18167.274371250183
85,18166.876099398687
86,18164.975098266215
87,18234.810611913425
88,18149.331452953295
89,18143.74404538217
90,18159.094763214336
91,18163.753617797644
92,18123.256715000178
93,18162.084007128542
94,18204.59921834948
95,18109.06354385735
96,18093.842421117275
97,18109.875310017458
98,18187.60444651876
99,18234.442834765872
100,18101.18431292629
101,18186.89719266328
102,18106.771720497418
103,18137.848494953483
104,18059.39658524422
105,18080.538530725775
106,18063.248993322188
107,18075.100080734308
108,18114.305051280833
109,18072.213312499058
110,18073.714664029147
111,18081.06371273209
112,18070.842782302163
113,18108.75236012339
114,18065.117868118898
115,18073.407402926106
116,18074.685116167635
117,18066.921619285393
118,18142.88114965384
119,18160.39712595407
120,18050.392178079594
121,18018.352747122706
122,18036.871329147918
123,17960.40030174423
124,17902.808932739776
125,18019.74932856752
126,17900.07530507486
127,17946.28652845975
128,17915.426022907028
129,17955.36781042983
