Iteración,Función de evaluación
1,18884.724849265964
2,18885.10104156318
3,18970.34942719282
4,18880.354388803527
5,18877.685765527945
6,18921.461560701206
7,18964.216830173402
8,18972.49445886558
9,19068.683046254973
10,19022.90505484165
11,19020.073573064867
12,19013.952981263705
13,19021.71158343923
14,18975.557560634734
15,18974.570455670844
16,18992.26946663061
17,18992.745623625353
18,18962.107765374018
19,18967.963762249336
20,18913.172851532534
21,18856.941066736585
22,18852.672608487122
23,18883.993604780415
24,18860.749694638573
25,18860.763525961345
26,18966.020570712455
27,18836.11582829262
28,18844.750272231016
29,18795.190469174922
30,18795.000368016423
31,18775.20878949619
32,18763.309995562428
33,18825.922916107826
34,18881.901938699233
35,18833.54235409924
36,18883.344357104623
37,18807.655849386738
38,18744.43228893895
39,18740.50463089491
40,18764.063641222234
41,18819.764788789576
42,18763.68744892502
43,18756.068010933603
44,18721.07238647304
45,18722.305267245654
46,18677.485968603665
47,18681.751500184106
48,18722.064376309638
49,18697.535247375854
50,18680.536071531038
51,18735.84808586094
52,18733.423456139324
53,18739.544047940486
54,18713.39369997626
55,18704.06916900024
56,18708.518030823285
57,18769.395412222373
58,18785.056858243628
59,18723.212020101633
60,18871.536176105168
61,18784.063288860707
62,18718.946488521193
63,18760.744156263332
64,18665.068186005494
65,18677.41353083313
66,18680.19016123467
67,18620.316697156857
68,18685.167330579352
69,18635.503471342272
70,18640.78484194455
71,18697.528993321772
72,18706.314160471535
73,18704.31118909076
74,18758.444583027216
75,18709.49294025253
76,18745.160117242034
77,18787.11238923714
78,18858.60097316733
79,18787.265899288737
80,18806.131411981536
81,18912.69591122477
82,18916.271775201487
83,19026.586695379392
84,18877.231576060865
85,18868.01838558771
86,18850.512686470196
87,18797.865036187133
88,18785.519691359495
89,18806.19887728631
90,18821.25321476545
91,18834.468976860273
92,18890.44799945168
93,18814.843957402227
94,18867.853891120707
95,18843.428449852465
96,18941.7693585116
97,18842.050944681054
98,18838.145586902003
99,18842.365564973574
100,18786.182321702297
101,18790.928974461953
102,18789.13585400265
103,18828.176053143266
104,18812.8411137927
105,18786.45144806075
106,18763.000958992357
107,18761.768078219742
108,18804.533408440355
109,18843.19559457611
110,18854.774158930948
111,18992.504972908533
112,18883.85087074752
113,18856.068217620614
114,18843.898015912095
115,18804.73463165454
116,18818.559410313923
117,18802.3397944007
118,18819.132419770882
119,18837.700429830962
120,18886.250335368768
121,18975.431243808547
122,18829.040701593527
123,18872.180928462487
124,18831.555847759235
125,18883.61238030324
126,18796.339057368386
127,18894.679966027525
128,18797.716562539797
129,18790.244670923286
130,18794.684904890924
131,18859.583044787447
132,18795.900333543992
133,18714.36775513219
134,18720.62824039022
135,18656.861427517564
136,18708.88775979154
137,18665.630345777674
138,18666.71631653252
139,18686.34133599056
140,18693.32069178915
141,18736.73085624712
142,18687.20009998799
143,18685.76141657593
144,18569.284132635155
145,18588.818832837285
146,18610.863626687766
147,18610.496748158737
148,18667.4029947367
149,18765.74390339584
150,18647.743579642225
151,18570.25863065107
152,18591.7067521867
153,18615.157241255092
154,18730.361153602546
155,18588.44271324374
156,18576.160796443226
157,18686.475716621135
158,18594.284871327785
159,18616.810107731842
160,18617.17698626087
161,18604.786744903795
162,18491.389279226165
163,18474.596653855988
164,18482.702534296313
165,18556.12923226779
166,18491.631240115283
167,18497.095172879704
168,18559.69840731062
169,18488.56802226072
170,18420.61438304794
171,18474.062534042507
172,18418.831077245828
173,18420.622391754485
174,18419.703328889
175,18421.69561363531
176,18373.09767492216
177,18266.533175678924
178,18316.141923970434
179,18396.151735805186
180,18339.38583411228
181,18291.762337422682
182,18294.289295523457
183,18240.155901587
184,18214.38973237013
185,18213.012227198727
186,18225.402468555803
187,18264.31239167143
188,18232.917812740907
189,18237.690787773285
190,18094.021445783623
191,18076.682262476257
192,18059.482548075255
193,18049.470908708638
194,18053.9388281985
195,18073.59824329298
196,18090.797957693983
197,18064.193582437347
198,18061.252666110544
199,18042.684656050464
200,18153.075378566373
201,18040.016032774885
202,18035.54811328502
203,18099.592219534257
204,18002.691225603678
205,18001.846085852212
206,18001.620099211596
207,18032.257957462927
208,18066.470732634087
209,18001.424046303557
210,18051.20588233398
211,17993.419603999177
212,17978.232829813765
213,18001.68331888216
214,17992.356136478847
215,18015.793228346345
216,18081.363343351564
217,18023.394046619447
218,18040.261530542804
219,18019.13767558459
220,18015.42169255326
221,18010.140321950978
222,18044.982133548394
223,18049.050245066603
224,17996.017015285892
225,17996.788168405714
226,18026.041103611627
227,18077.0896825054
228,18054.852440665432
229,17941.47615407581
230,17872.900464245024
231,17887.523206906495
232,17887.932238725658
233,17888.703490855547
234,17891.140123771278
235,17956.7102387765
236,17883.314731299888
237,17805.311293395138
238,17797.552691219607
239,17806.49092369098
240,17900.201101934737
241,17797.552691219607
242,17824.664967111392
243,17802.364370892574
244,17805.10166784124
245,17880.790175559127
246,17830.294652964483
247,17811.941815876748
248,17863.16594010096
249,17870.637831717468
250,17899.935761573284
251,17863.391926741577
252,17827.72474975207
253,17884.93605866189
254,17905.209698743227
255,17938.039669929974
256,17850.144824239593
257,17842.31176144189
258,17871.5646966478
259,17870.873629125635
260,17939.997681810004
261,17868.46393315032
262,17857.216684702522
263,17844.598573307827
264,17847.885782665988
265,17857.530971795488
266,17831.23559718582
267,17811.576182091343
268,17826.873744397755
269,17859.40789526722
270,17843.067743990145
271,17818.94575714924
272,17883.51395629045
273,17819.8387294577
274,17802.24754324489
275,17789.105620656457
276,17788.42409688479
277,17800.87481625802
278,17782.638801928155
279,17855.033272420747
280,17792.791443024
281,17804.37478496438
282,17841.38938173715
283,17799.76403187638
284,17834.75965633694
285,17809.878722029884
286,17798.022333981673
287,17774.719700276597
288,17770.27083845355
289,17775.55220905583
290,17841.122324061052
291,17840.450348952356
292,17844.12789888662
293,17855.375147334416
294,17908.022797617487
295,17813.42287533931
296,17815.7833324514
297,17839.085966156475
298,17810.94470476223
299,17797.48362361973
300,17857.683243943724
301,17827.592186456885
302,17820.29386419154
303,17836.325430076497
304,17805.496933305185
305,17949.166275294847
306,17759.58296062087
307,17734.225199175635
308,17715.571171111704
309,17772.782480021524
310,17751.84447853047
311,17768.03000030898
312,17744.820178460788
313,17773.754857177926
314,17686.636005891793
315,17687.317529663458
316,17712.675291108695
317,17685.106569997955
318,17661.085474540967
319,17666.827896168492
320,17618.628516082244
321,17610.01736082154
322,17608.226046312884
323,17661.506308526255
324,17647.866026211574
325,17630.01238962026
326,17611.942029344216
327,17623.7081678714
328,17620.17705537407
329,17591.78958933207
330,17585.91164084929
331,17616.02020368644
332,17593.158347501718
333,17657.726546642923
334,17606.539596492585
335,17610.74953371453
336,17613.77252709282
337,17620.17293987867
338,17666.107376387125
339,17682.9000017573
340,17665.698344567958
341,17667.909304233464
342,17679.808098167232
343,17685.875633869127
344,17685.68331837413
345,17766.60884197789
346,17706.61294947299
347,17676.106685644576
348,17675.553299705065
349,17764.12690591055
350,17794.06449758044
351,17765.568618456833
352,17715.047217911833
353,17715.237319070333
354,17738.04755964214
355,17687.54900122614
356,17632.557226240064
357,17645.745197350836
358,17705.944817674826
359,17732.12496588649
360,17658.119434214055
361,17677.55375343892
362,17667.332624687206
363,17663.69710694065
364,17699.11787086703
365,17706.29844163188
366,17702.607030056275
367,17595.12141710986
368,17602.4558779528
369,17668.09626623041
370,17663.07505632264
371,17564.73712770085
372,17557.490421048424
373,17596.33222750519
374,17663.672766882788
375,17552.74376828877
376,17472.97737873501
377,17513.034811016187
378,17519.87495905169
379,17576.569388050328
380,17531.82948313885
381,17531.317777571014
382,17548.28080744076
383,17646.980345185184
384,17586.808265341922
385,17553.027460200414
386,17553.93426568738
387,17621.024889114768
388,17605.595871015877
389,17500.089254001876
390,17515.10318605705
391,17526.225976860962
392,17503.44140127534
393,17558.753415605242
394,17582.774511062235
395,17565.93691527751
396,17574.54807053821
397,17555.784274181664
398,17636.107041094536
399,17536.990563254127
400,17537.399595073286
401,17561.421398876726
402,17533.68361204196
403,17537.144410219764
404,17532.704176252126
405,17536.23528874945
406,17522.489554939133
407,17499.05246307164
408,17540.316275778485
409,17544.966435755956
410,17506.36926807787
411,17565.027811259377
412,17489.011246733036
413,17543.14464066949
414,17515.732231598697
415,17526.836550327775
416,17536.150038164396
417,17681.176360226993
418,17546.826458294796
419,17520.105473429136
420,17571.234776750964
421,17521.90661885175
422,17522.460004791265
423,17524.20850755168
424,17526.001628010985
425,17534.839212255356
426,17532.150891596946
427,17538.70921968765
