Iteración,Función de evaluación
1,4554.827638365272
2,4591.923522302698
3,4591.9367246228585
4,4627.144227253884
5,4627.2820762700285
6,4638.0663309668735
7,4633.344651285042
8,4633.759362090721
9,4632.7498049629685
10,4637.872976387356
11,4631.885989560255
12,4639.233442396329
13,4632.445400476155
14,4630.695363424536
15,4635.280199657645
16,4633.820790197739
17,4636.775934535189
18,4619.555310393708
19,4655.766372803925
20,4666.8837306830355
21,4665.421056914249
22,4656.6598953192015
23,4689.251034537202
24,4652.284607458356
25,4653.268907738043
26,4678.777707038493
27,4653.268907738043
28,4653.790694674499
29,4653.678019372367
30,4671.538500143552
31,4663.787362432005
32,4669.565444515761
33,4658.781189818916
34,4671.064043905179
35,4688.284668046659
36,4720.741199739372
37,4734.19753934144
38,4760.796398921401
39,4761.639610669927
40,4682.298320921926
41,4747.786951096767
42,4728.898196580474
43,4811.994133736285
44,4828.415287407535
45,4816.473005082578
46,4835.361759598871
47,4837.11179665049
48,4850.606861972803
49,4850.955062983536
50,4864.586465865745
51,4861.401836090641
52,4834.393648070181
53,4838.5329012887005
54,4812.38851257057
55,4747.3667029369935
56,4743.45164456207
57,4775.020631360278
58,4716.852784982108
59,4677.1413876589995
60,4674.186243321549
61,4673.343031573024
62,4661.84982111829
63,4615.973528334185
64,4627.4667387889185
65,4623.6702151527625
66,4669.546507936867
67,4689.7383549064
68,4693.534878542557
69,4697.962640884566
70,4698.856749481966
71,4704.395106194172
72,4582.701805317506
73,4702.564865960327
74,4694.337553625528
75,4704.7607791332985
76,4743.4568698238145
77,4811.297106979616
78,4810.736425072033
79,4910.011007693245
80,4810.42143121323
81,4810.006720407551
82,4799.58349489978
83,4814.186136146915
84,4815.099870088794
85,4791.445444229816
86,4837.976223246507
87,4875.040834270978
88,4870.965429633825
89,4858.276149101894
90,4862.821805425541
91,4867.787116221163
92,4891.109213238739
93,4895.184617875893
94,4922.07306539499
95,4925.832767274105
96,4910.95570751588
97,4926.214583964062
98,4953.222771984521
99,4913.405938852675
100,4917.561744764909
101,4918.950090042995
102,4895.231635490874
103,4911.64026913474
104,4907.484463222505
105,4895.991252767772
106,4887.304872634226
107,4895.411311980311
108,4892.840966914757
109,4895.411311980311
110,4879.0026783364465
111,4875.3707935275
112,4873.110867482719
113,4846.222419963622
114,4845.282521906328
115,4889.541046144464
116,4850.8449554539475
117,4835.586079005767
118,4843.963291040701
119,4836.449409111139
120,4831.423528837284
121,4903.579756574634
122,4791.403443323661
123,4890.678025944873
124,4787.001960142421
125,4794.492602227316
126,4809.751478675496
127,4805.95495503934
128,4763.667052119508
129,4770.584727907159
130,4766.597948685052
131,4681.6381955618635
132,4720.334286252379
133,4719.647633903027
134,4678.93304600006
135,4688.97306788485
136,4660.4830587145925
137,4641.280903573707
138,4756.310640562395
139,4649.870437746889
140,4647.37559255152
141,4640.519956312787
142,4615.043022237882
143,4604.222116631371
144,4599.168269474689
145,4590.578735301507
146,4582.970851980007
147,4590.484733909569
148,4591.0454158171515
149,4583.53153388759
150,4582.007796604174
151,4603.186160070578
152,4616.50220561206
153,4625.88373315161
154,4610.156081162209
155,4571.647116109774
156,4564.280329351623
157,4651.203124116877
158,4643.565044436247
159,4635.895772245691
160,4646.31899775346
161,4654.556721026132
162,4654.75043582575
163,4649.711280734712
164,4644.787352610884
165,4624.933059190067
166,4628.729582826223
167,4627.889693069097
168,4540.966898303843
169,4567.855345822941
170,4521.490164186933
171,4498.168067169357
172,4498.280742471487
173,4499.358078465808
174,4522.056923600754
175,4500.146316748442
176,4512.096596497378
177,4469.613070300318
178,4462.4596687054645
179,4460.852694915378
180,4465.891850006416
181,4501.5950957331725
182,4503.11883301659
183,4493.452485677759
184,4529.997456980876
185,4525.2917369239785
186,4526.480408415015
187,4605.334382191642
188,4549.179253549961
189,4489.935437111897
190,4493.282377831101
191,4487.763087035048
192,4576.250218864769
193,4444.002861762524
194,4398.9744203582595
195,4396.574264424131
196,4400.561043646237
197,4422.489066823474
198,4410.895581749563
199,4407.826894679651
200,4400.1725389065805
201,4445.200980310845
202,4384.458355955577
203,4368.11342791471
204,4373.505779785235
205,4328.316139350482
206,4316.365859601547
207,4312.569335965389
208,4310.37239417435
209,4270.8185866869935
210,4298.084347441816
211,4242.83444717986
212,4245.329292375231
213,4251.412584167491
214,4274.568769506886
215,4288.237493699181
216,4293.814793048168
217,4315.7428162254055
218,4298.787377361179
219,4311.26581270978
220,4366.515712971737
221,4310.799580375793
222,4318.58737723919
223,4344.7452565342655
224,4312.288724841553
225,4310.309013021359
226,4307.554108913324
227,4333.866019404341
228,4335.3386537490405
229,4342.99300952211
230,4327.232214402953
231,4373.597396038962
232,4375.690966054766
233,4382.301914152527
234,4372.260655807218
235,4313.563490210659
236,4320.716891805514
237,4241.435161994656
238,4300.09667233849
239,4300.09667233849
240,4320.776451742657
241,4241.50375905227
242,4243.546913360236
243,4233.712034114185
244,4245.059264134699
245,4229.195753661978
246,4213.299021160925
247,4185.893270017664
248,4193.2600567758145
249,4213.368461747301
250,4259.73364338331
251,4258.396903151566
252,4255.049962432362
253,4257.917012560269
254,4233.108429688046
255,4232.35569809216
256,4160.199470354812
257,4148.467303992251
258,4145.542023120925
259,4244.816605742138
260,4190.303287014893
261,4124.363659654521
262,4139.467548142442
263,4238.742130763655
264,4159.477801507559
265,4165.315588236459
266,4167.232025138919
267,4166.577677717858
268,4162.883080030097
269,4121.055922111758
270,4167.421103747766
271,4121.590708161286
272,4184.596278604906
273,4115.26336673625
274,4109.425580007348
275,4139.254021623747
276,4050.7668897940257
277,4050.780399361104
278,4050.6936726870617
279,4010.982275363953
280,4034.660407573355
281,4040.498194302256
282,4032.820453084153
283,4028.766891018583
284,4032.820453084153
285,4037.744381207981
286,4065.150132351242
287,4148.664912936406
288,3984.774143655978
289,4001.7295825202045
290,4043.556740438543
291,4036.2250095209574
292,4038.4415980305466
293,3998.107430383663
294,3987.073398747966
295,4042.1430984975404
296,3982.1494706241383
297,3974.6926777078625
298,4019.4539416018306
299,4030.4879732375275
300,4013.532534373301
301,4017.2271320610625
302,4014.744681714251
303,4003.710650078554
304,3980.530754993025
305,3989.3876392559077
306,3963.7713358361843
307,4063.3667180333723
308,3965.611290325386
309,3871.066529146081
310,3867.37193145832
311,3868.4767345359596
312,3837.3526110064913
313,3835.776638762008
314,3837.3526110064913
315,3839.2362165529057
316,3841.487936086747
317,3850.185769610578
318,3872.1137927878153
319,3831.91786109877
320,3836.639540780602
321,3810.697922756918
322,3805.4961215842077
323,3850.558436127335
324,3826.839981575214
325,3834.267536043445
326,3821.584111318863
327,3791.2149076760716
328,3794.837059812613
329,3791.170363619704
330,3883.0678047566034
331,3808.635739113399
332,3808.622229546321
333,3810.563648488097
334,3826.2778314391
335,3816.199980934767
336,3846.808767119383
337,3847.6486568765085
338,3850.503364807144
339,3874.2218193592644
340,3876.704269706076
341,3883.2025453884653
342,3847.383995763419
343,3854.7008855225604
344,3857.7695725924723
345,3856.221410001145
346,3823.697000711226
347,3795.1022122571294
348,3805.87498140537
349,3774.9938072856426
350,3802.001995306103
351,3775.7884912950194
352,3778.6525489311234
353,3776.3537511508493
354,3782.8094495186415
355,3792.5288650069733
356,3802.284399432552
357,3775.432445524366
358,3804.0272339784624
359,3869.977206703671
360,3759.7269826950915
361,3753.2712843273
362,3742.8923303554257
363,3771.487118809522
364,3748.0860421298917
365,3796.5447937817044
366,3705.217804134848
367,3678.860591657526
368,3678.3354534155997
369,3658.264409564329
370,3650.302069046571
371,3671.9219556392877
372,3660.6810230184446
373,3682.968250848962
374,3589.544147248809
375,3590.3144099020674
376,3589.9662088913346
377,3631.793366809673
378,3559.3574227067184
379,3569.736376678593
380,3579.8142271829256
381,3588.577625764494
382,3626.386736208229
383,3586.1415686079617
384,3611.757872027685
385,3606.9421277401743
386,3606.9472181052934
387,3625.158983660197
388,3626.422168019204
389,3598.260837971747
390,3613.8087009706132
391,3720.184121355831
392,3632.902607920939
393,3640.6687040167753
394,3651.923296672317
395,3636.727416456432
396,3635.410970817286
397,3655.519375788773
398,3678.01386759592
399,3634.8406238279003
400,3631.08374195396
401,3665.018686032591
402,3630.962234517574
403,3635.777978805085
404,3666.493502695314
405,3667.333293740572
406,3694.439489148919
407,3696.535900602846
408,3627.0801452812534
409,3611.8245269790546
410,3673.0821166073956
411,3626.8167071822695
412,3635.5030873158157
413,3618.859460949946
414,3673.9291606995203
415,3638.6167626948727
416,3637.951686012563
417,3644.7796519985986
418,3644.383718062866
419,3692.8424697146784
420,3639.0539503448067
421,3640.315128215933
422,3629.8421734898093
423,3630.6820632469344
424,3631.0779971826673
425,3628.213939546564
426,3669.6263866592235
427,3686.486965667028
428,3709.133427245518
429,3708.8546726337904
430,3702.0267066477545
431,3713.619840930902
432,3805.608147168211
433,3691.2521339641394
434,3715.0611749267046
435,3740.306863333597
436,3702.6545116068646
437,3728.446038572585
438,3759.3927648504305
439,3742.6529007767
440,3751.709240976322
441,3771.56353439714
442,3753.478660469346
