Iteración,Función de evaluación
1,11597.674933959755
2,11603.49290874676
3,11598.553535024284
4,11592.27404894646
5,11631.668126592533
6,11626.877616693233
7,11574.840978653934
8,11574.928221815018
9,11562.45710049872
10,11548.76170833709
11,11587.935379659404
12,11643.722533566604
13,11654.170075035008
14,11741.93302015101
15,11586.154876188846
16,11584.148338745066
17,11571.361750751024
18,11580.590891729615
19,11552.159885985784
20,11538.133939108204
21,11606.149137954366
22,11499.003456840579
23,11438.564508545294
24,11501.570198189818
25,11503.450350992996
26,11512.55701503735
27,11497.898437347627
28,11492.15841797732
29,11544.884508934792
30,11536.04704358938
31,11549.171082692284
32,11540.064418647931
33,11542.79895547833
34,11543.210609646963
35,11546.420125277225
36,11624.992807328144
37,11621.364367039607
38,11630.692065155847
39,11652.858716393363
40,11679.0824537635
41,11687.288176134061
42,11804.113629185418
43,11726.10271732639
44,11715.143829357865
45,11786.045096663398
46,11740.23616326639
47,11784.11024408846
48,11789.410003154051
49,11758.488541329465
50,11745.828284517289
51,11737.038288951971
52,11752.78635022725
53,11738.951930411753
54,11628.76830845463
55,11612.702643536039
56,11610.052636174096
57,11664.756414769417
58,11639.664080860894
59,11642.14536445804
60,11654.805621270214
61,11615.342784451232
62,11578.35730757437
63,11741.513960912767
64,11685.878162715144
65,11596.30933565978
66,11561.295730279962
67,11625.264350916885
68,11616.931528477584
69,11536.165493383014
70,11528.628386784374
71,11625.012582229203
72,11541.117623493908
73,11545.908133393208
74,11571.518131842164
75,11540.245989844545
76,11524.370567187572
77,11524.543274470969
78,11535.502162439494
79,11593.257946067048
80,11601.175361343365
81,11599.10479306513
82,11673.622539396383
83,11594.763763906041
84,11647.2095392653
85,11685.039465259488
86,11516.463740982217
87,11608.405678651987
88,11548.600687105161
89,11541.556074890743
90,11580.686557158368
91,11494.957680790496
92,11488.484503020918
93,11488.703859097375
94,11503.581524206342
95,11508.37203410564
96,11477.971525757384
97,11486.455598921915
98,11447.061521275842
99,11450.472360321024
100,11437.498209871057
101,11439.56877814929
102,11414.476444240765
103,11417.704402153275
104,11416.355105878167
105,11499.662152218021
106,11416.011871177114
107,11376.413822306982
108,11336.394802600404
109,11386.346028767111
110,11381.603030829923
111,11437.831914458846
112,11384.044254932196
113,11409.136588840724
114,11391.7613159635
115,11499.088654545809
116,11400.242373018209
117,11484.137331753504
118,11483.991023360015
119,11407.03561399856
120,11436.791059157582
121,11374.269216166611
122,11377.221551406703
123,11430.053139078358
124,11447.162826624544
125,11578.635363323121
126,11447.811760755518
127,11465.600548359827
128,11449.865908665612
129,11535.049012601048
130,11454.194683252656
131,11449.80614597267
132,11496.582531911237
133,11471.21907334704
134,11411.876043457727
135,11403.862293579621
136,11320.154873650543
137,11244.098974725703
138,11324.013930960851
139,11254.234068622529
140,11269.25582700815
141,11308.468717454121
142,11468.335502153775
143,11306.56386355605
144,11360.72408339156
145,11365.387963668063
146,11374.193889182632
147,11374.014007545715
148,11369.223497646415
149,11445.279396571255
150,11370.465939126796
151,11375.583637834337
152,11335.587034204591
153,11348.067682344652
154,11332.334351685346
155,11331.692747956731
156,11318.324479416016
157,11311.84093392613
158,11310.96423249524
159,11342.236374492859
160,11376.412265604813
161,11381.77902240799
162,11374.263170341714
163,11377.952348757675
164,11463.13545269311
165,11467.961400086195
166,11498.230543604564
167,11503.597300407742
168,11479.655232685413
169,11539.62945494176
170,11438.448279212113
171,11406.338162501313
172,11480.40022225553
173,11478.547253038547
174,11424.387033203035
175,11427.588418572657
176,11434.457979499579
177,11443.564643543932
178,11431.217119690415
179,11431.436475766874
180,11431.09790874302
181,11430.925201459624
182,11429.257832965093
183,11453.007888587037
184,11337.05913696657
185,11338.63144885121
186,11416.931471775035
187,11344.396809522208
188,11362.57351657354
189,11365.638390810585
190,11411.621038997597
