Iteración,Función de evaluación
1,12636.223260593266
2,12604.174849417275
3,12566.934015924875
4,12570.311274493517
5,12552.40526364871
6,12601.875527487437
7,12581.558162633599
8,12508.955059902612
9,12427.055743690098
10,12458.764002413127
11,12385.283161952808
12,12375.28726945096
13,12325.817005612234
14,12325.79616918789
15,12352.634127458809
16,12306.061732263675
17,12300.914429670349
18,12318.820440515155
19,12308.53844135
20,12313.541092822597
21,12309.399673062158
22,12377.503083787178
23,12345.048731811461
24,12317.46083092802
25,12311.877387383183
26,12270.043098022972
27,12267.596328675396
28,12276.527601474249
29,12267.596328675396
30,12254.866364320078
31,12224.391762655718
32,12181.669816348225
33,12210.878694628145
34,12205.152035907042
35,12190.85833495931
36,12204.313381320455
37,12179.118285556595
38,12165.45991053004
39,12235.317583191045
40,12178.914956891185
41,12199.043170195077
42,12184.49840043602
43,12218.397607059185
44,12233.485486312085
45,12213.680529599347
46,12275.436041142366
47,12324.070742946853
48,12318.025397605445
49,12256.269886062424
50,12365.236588593329
51,12251.267234589828
52,12371.461734254528
53,12279.41260764526
54,12280.592442291756
55,12216.199433984319
56,12200.805400924508
57,12203.204541770292
58,12161.568109879467
59,12181.373066592205
60,12104.5426322096
61,12075.727085850229
62,12072.758971758878
63,12063.280763254625
64,12141.870512678604
65,12090.868664138066
66,11958.931792850975
67,12046.180274709408
68,11887.243766662683
69,11846.994313471252
70,11954.162388142351
71,11806.987297693786
72,11807.836929382895
73,11792.749050129996
74,11798.39296743511
75,11801.110149240587
76,11825.639594956945
77,11850.912869481564
78,11897.198721110726
79,11933.098051143867
80,11897.169427930477
81,11974.758724803785
82,11842.404098166247
83,11850.569030218972
84,11846.799352457041
85,11850.64109966698
86,11833.094140486315
87,11847.092122807679
88,11859.464148734853
89,11867.857871720766
90,11871.627549482699
91,11878.355080846988
92,11849.02987314506
93,11875.374059134163
94,11878.225305764989
95,11885.36070137655
96,11900.296349777956
97,11903.4936679079
98,11900.838013345325
99,11870.786355480752
100,11870.738292407452
101,11935.131300714893
102,11931.084366161627
103,11973.575988312201
104,11930.34265925338
105,11915.946393432998
106,11986.029252079443
107,12156.324352884285
108,11974.508533812368
109,12101.620138604972
110,11971.119088101892
111,11892.459810899658
112,11858.560604276494
113,11876.107563457159
114,12013.741514860798
115,11877.774543839925
116,11884.655301374714
117,11881.15413413783
118,11883.789812450184
119,11881.365313280083
120,11881.582198418944
121,11788.351404891317
122,11925.985356294956
123,11784.068119417963
124,11871.637425238483
125,11813.019975376543
126,11927.044414541215
127,11806.139217841752
128,11821.09917201911
129,11772.464470214623
130,11795.060153367302
131,11811.086352941631
132,11813.090657788865
133,11855.65729639119
134,11800.061592063754
135,11798.744279356972
136,11692.366810181493
137,11823.46896151194
138,11833.125113856013
139,11864.864434317797
140,11876.865583509327
141,11859.78690902572
142,11911.07740705791
143,11921.65865113694
144,11912.593662584275
145,11878.048647773692
146,11923.09513042883
147,11891.355809967046
148,11922.881746393436
149,11889.89157608278
150,11921.630896544564
151,11930.7390257687
152,11915.284465586381
153,11888.44650731546
154,11915.00797041431
155,11876.074481388287
156,11872.697222819643
157,11872.656187859084
158,11841.573952924251
159,11810.88875723699
160,11797.227105706868
161,11835.519588628176
162,11810.134893031678
163,11825.00866114176
164,11789.61234694822
165,11908.215413525537
166,11896.816327731996
167,11788.369145589939
168,11786.950499922816
169,11831.38521993702
170,11839.7418205848
171,11764.402018947083
172,11761.964797780482
173,11756.186653650217
174,11832.314039523406
175,11756.207490074561
176,11768.93745442988
177,11931.661644897224
178,11848.133541358997
179,11812.458490370045
180,11905.158821963747
181,11771.374675596482
182,11792.659919695452
183,11787.967166571349
184,11771.618620800231
185,11799.08896819548
186,11962.464906967743
187,11812.155817799741
188,11762.725438191344
189,11738.102133406515
190,11779.738565297339
191,11825.671439227035
192,11822.684752268386
193,11723.228365296434
194,11708.292716895026
195,11701.125543330705
196,11675.31437304966
197,11668.114121477958
198,11799.05484210784
199,11732.520323994446
200,11560.91014069418
201,11559.33641064844
202,11635.325592743891
203,11551.192673906544
204,11551.171837482201
205,11555.309353350505
206,11586.835289776895
207,11603.115651516986
208,11601.517981722322
209,11730.929285816286
210,11636.596719352983
211,11645.661707905649
