Funcion,Dimension,CR,F,Poblacion,Evaluaciones,Tiempo,Mejor encontrado
rosenbrock,10,0.9,0.1,100,100000,4.71747063300063,18.789260775889584
rosenbrock,10,0.9,0.1,100,100000,4.892160135997983,28.24869727431481
rosenbrock,10,0.9,0.1,100,100000,4.612820099999226,9.971283640687417
rosenbrock,10,0.9,0.1,100,100000,4.779060012999253,25.132493956448975
rosenbrock,10,0.9,0.1,100,100000,4.716841974997806,34.18639577003508
rosenbrock,10,0.9,0.1,100,100000,4.595251672002632,34.692623598431055
rosenbrock,10,0.9,0.1,100,100000,4.684563733000687,12.987056987418057
rosenbrock,10,0.9,0.1,100,100000,4.512250530999154,8.916009200443932
rosenbrock,10,0.9,0.1,100,100000,4.4920599830002175,61.0141540531421
rosenbrock,10,0.9,0.1,100,100000,4.486223199997767,12.59886864820077
rosenbrock,10,0.9,0.3,100,100000,4.693441013998381,4.896532244240408
rosenbrock,10,0.9,0.3,100,100000,4.727660921998904,3.9714392980183146
rosenbrock,10,0.9,0.3,100,100000,4.6304740000014135,5.8892208441952105
rosenbrock,10,0.9,0.3,100,100000,4.558910093997838,6.5784145967889165
rosenbrock,10,0.9,0.3,100,100000,4.555166649999592,4.5868567880348445
rosenbrock,10,0.9,0.3,100,100000,4.514981144002377,6.009086895158024
rosenbrock,10,0.9,0.3,100,100000,4.77593817199886,6.729619214290341
rosenbrock,10,0.9,0.3,100,100000,4.912421644003189,3.442291112534139
rosenbrock,10,0.9,0.3,100,100000,4.615619039999729,7.840485844672504
rosenbrock,10,0.9,0.3,100,100000,4.579950542996812,6.632551552257999
rosenbrock,10,0.9,0.5,100,100000,4.680273431000387,6.438654416371386e-07
rosenbrock,10,0.9,0.5,100,100000,4.677558783998393,1.4159784531745677e-05
rosenbrock,10,0.9,0.5,100,100000,5.0165126220017555,1.3445080764013512e-06
rosenbrock,10,0.9,0.5,100,100000,4.582012704999215,3.498648767125146e-07
rosenbrock,10,0.9,0.5,100,100000,4.531402747001266,2.4660808504204957e-06
rosenbrock,10,0.9,0.5,100,100000,4.6474275610016775,8.118916882287817e-07
rosenbrock,10,0.9,0.5,100,100000,4.424611680999078,4.545202817658706e-06
rosenbrock,10,0.9,0.5,100,100000,4.541493304997857,4.831886442938606e-06
rosenbrock,10,0.9,0.5,100,100000,4.508004751998669,0.0003761940330539601
rosenbrock,10,0.9,0.5,100,100000,4.520330372997705,2.7143801059954065e-05
rosenbrock,10,0.9,0.7,100,100000,4.396436820999952,0.013779123280234052
rosenbrock,10,0.9,0.7,100,100000,4.515058152002894,0.08680643464870726
rosenbrock,10,0.9,0.7,100,100000,4.452535052001622,0.06603201230850797
rosenbrock,10,0.9,0.7,100,100000,4.548149342001125,0.013161132312100438
rosenbrock,10,0.9,0.7,100,100000,4.556835374998627,0.13935361420074197
rosenbrock,10,0.9,0.7,100,100000,4.537057086999994,0.1063645965042349
rosenbrock,10,0.9,0.7,100,100000,4.53372229100205,0.044155127989185354
rosenbrock,10,0.9,0.7,100,100000,4.535615498996776,0.04680137618426224
rosenbrock,10,0.9,0.7,100,100000,4.570789412002341,0.03177352510236511
rosenbrock,10,0.9,0.7,100,100000,4.54856117899908,0.0380166423698056
rosenbrock,10,0.9,0.9,100,100000,4.542283193997719,7.901473423637381
rosenbrock,10,0.9,0.9,100,100000,4.5479350030000205,9.683974849844834
rosenbrock,10,0.9,0.9,100,100000,4.536344074000226,9.875287053999429
rosenbrock,10,0.9,0.9,100,100000,4.4937045329970715,7.7647500130761795
