Funcion,Blo,Bup,Max evals,Tamaño,Dimension,Omega,Phip,Phig,Lr,Tiempo,Mejor sol
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.05669569969177246,0.11626902961895878
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.05563044548034668,0.011623109922620193
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.05992484092712402,0.005325825754150462
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.05744171142578125,0.002151232385383053
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.05682492256164551,0.01937762157814895
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.05730628967285156,0.11586655239182311
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.05723404884338379,0.01782173468260147
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.057103633880615234,0.0009199336253122403
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.057448625564575195,0.06487891603896957
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.05543088912963867,0.044416280654035134
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.06060647964477539,0.002315768862089564
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.05483818054199219,0.00023649721802268032
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.06060624122619629,0.029693479885698412
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.05687236785888672,0.0006691128097572613
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.05782771110534668,0.02190271432090883
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.05577278137207031,0.01920865367085431
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.05793452262878418,0.00019802834076772724
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.05632758140563965,0.017610690049039292
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.056802988052368164,0.13958951717551832
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.055848121643066406,0.00036698983107880074
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.0587160587310791,0.0011514145479393674
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.05632805824279785,0.08068091282285944
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.05784964561462402,0.18310935454203786
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.05688977241516113,0.03746990531186305
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.062340736389160156,0.049151441367725576
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.05744147300720215,4.424808189832955e-05
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.06098437309265137,0.00016178184373621114
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.05530571937561035,0.013242228268842105
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.057056427001953125,0.18914123432037497
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.056920528411865234,0.1660050672627867
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.05886697769165039,0.011040318580916603
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.05927228927612305,0.02482875551395393
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.057375431060791016,0.045879455964201316
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.05695176124572754,0.00046158378561039087
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.056931495666503906,0.01752512796802927
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.05563974380493164,0.006743861371112664
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.05724906921386719,0.14546215558686357
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.05922722816467285,0.009796850200163042
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.061203956604003906,0.16735423934108906
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.05867123603820801,0.04782859880259402
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.05683708190917969,0.21406511363803468
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.05638003349304199,2.6903914988566298e-05
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.05886197090148926,0.2949537916281572
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.05846548080444336,0.0003287300206048628
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.05865788459777832,0.01343265052248007
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.056981801986694336,0.043773627849702026
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.05764579772949219,0.6228941953177936
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.05754995346069336,0.064194744111869
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.05797004699707031,0.00024067266416429928
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.057239532470703125,2.1832236721777302e-05
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.057901859283447266,0.01602249031727331
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.06091809272766113,2.935308565572763e-05
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.06173205375671387,0.019187481960860765
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.05613422393798828,0.0023394021295516055
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.059996843338012695,0.0005710045724146967
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.057021141052246094,7.979765425201369e-05
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.05774569511413574,0.11228306371148557
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.05553603172302246,0.03520801223523351
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.05660581588745117,0.00479304020462918
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.05599856376647949,8.68769691916205e-05
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.05824017524719238,0.11168557658020344
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.05676126480102539,0.011153688646709225
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.05674481391906738,0.1795899017365803
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.056630611419677734,0.0003714972710046953
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.05651450157165527,0.6086124679662611
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.05541110038757324,0.00834954434291138
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.05894732475280762,0.008750727164466919
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.05672907829284668,0.00013694546221182643
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.05930209159851074,0.009279253089818872
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.05619525909423828,0.007792619432106193
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.05813026428222656,0.0018863003781500569
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.05766725540161133,5.3351048445929395e-05
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.05706214904785156,0.08593489370180063
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.05678296089172363,0.058532789758188285
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.05988717079162598,0.03887620977558071
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.05700540542602539,0.011489608255605199
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.5,0.05738687515258789,0.13193047813410436
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.5,0.05628538131713867,9.670751138728633e-05
sphere,-5.12,5.12,30,50,2,0.5,0.3,0.7,0.7,0.057303428649902344,0.13807704425367545
sphere,-5.12,5.12,30,50,2,0.7,0.3,0.7,0.7,0.059352874755859375,0.0049471789738791475
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.035158395767211914,-0.9981482645252393
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.034356117248535156,-0.9994897476762714
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.03959774971008301,-0.9969968841290715
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.03870534896850586,-0.9998773969054648
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.03632760047912598,-0.9988593314351522
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.03620314598083496,-0.9991995592005012
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.037344932556152344,-0.9977121944743992
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.0360720157623291,-0.999991536845452
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.03804183006286621,-0.997709300763731
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.03686046600341797,-0.998967976188208
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.03901267051696777,-0.9981874827825418
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.037776947021484375,-0.999996692592586
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.03869318962097168,-0.9987781864013767
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.03713512420654297,-0.9999714749634588
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.03711533546447754,-0.9995087774364269
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.035340309143066406,-0.9993739156221294
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.04100632667541504,-0.9998386279451822
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.03906130790710449,-0.9990888857016778
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.038225412368774414,-0.9982230157966276
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.03619050979614258,-0.9999363817679391
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.03812742233276367,-0.9994567356264336
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.03905963897705078,-0.9980897895232974
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.03717756271362305,-0.9995184369045675
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.03769397735595703,-0.9999201452857723
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.0486302375793457,-0.997011546632372
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.035701751708984375,-0.9992983612758216
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.06096839904785156,-0.9860416469837603
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.036585330963134766,-0.9997682426946464
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.053240299224853516,-0.9963271377611487
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.05972766876220703,-0.9996824372286726
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.03687477111816406,-0.9684664482229964
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.033635616302490234,-0.9999957136572203
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.04465031623840332,-0.9973731711152053
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.03938627243041992,-0.9999442250958905
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.04277801513671875,-0.9981225412575677
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.04157137870788574,-0.9999653253370696
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.040605783462524414,-0.961178245679742
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.04797077178955078,-0.9997272787821688
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.04806804656982422,-0.9852100703598695
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.03685259819030762,-0.9999490340623682
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.03714346885681152,-0.9935462766012397
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.04229879379272461,-0.9994988215941264
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.0416414737701416,-0.9815211703993827
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.03473949432373047,-0.9993701013407379
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.04083609580993652,-0.9953938065326499
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.047692060470581055,-0.9999703959574128
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.03663468360900879,-0.9999869854967914
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.035135507583618164,-0.9999465137748687
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.037206411361694336,-0.9904829368577264
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.034731149673461914,-0.9996782697854937
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.03822588920593262,-0.9971257520829377
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.040953874588012695,-0.9999973470803893
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.03607535362243652,-0.999859395259447
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.0357661247253418,-0.9999649963756013
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.056435585021972656,-0.9790331440821788
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.0351865291595459,-0.9999984347033847
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.03741455078125,-0.9996021597456083
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.03502702713012695,-0.9997756356165048
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.035980939865112305,-0.9956910668985878
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.03624224662780762,-0.9999946001215343
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.036405324935913086,-0.9996383444211949
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.03692030906677246,-0.9999818863628881
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.03599858283996582,-0.9996613554729605
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.03521013259887695,-0.9999947212999152
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.03605532646179199,-0.9876817298121897
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.03592205047607422,-0.9990231673023249
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.03864407539367676,-0.9981819145741374
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.037610769271850586,-0.999999535252099
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.03598308563232422,-0.9997892773896524
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.03734230995178223,-0.9992362365536195
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.03687095642089844,-0.9995996918556226
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.03635597229003906,-0.9995749554809481
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.04067540168762207,-0.9827086867731689
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.03821539878845215,-0.9999660652230751
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.03564882278442383,-0.9998624792469227
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.03704261779785156,-0.9868628191932787
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.5,0.035855770111083984,-0.9991863286099059
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.5,0.03542447090148926,-0.9999973147757094
cosin,-1.5,5.0,30,50,2,0.5,0.3,0.7,0.7,0.03672385215759277,-0.9981287790391314
cosin,-1.5,5.0,30,50,2,0.7,0.3,0.7,0.7,0.035686492919921875,-0.9999934990319684
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.0442652702331543,-0.999611302908234
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.04315614700317383,-0.996052474758541
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.04449319839477539,-0.9999996638661193
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.04147934913635254,-0.9999548976750241
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.04517555236816406,-0.9900793716782238
