Función,Dimensión,Semilla,f(x),Tiempo
Griewank,2,3227784650,102.13020914793465,0.07843971252441406
Griewank,2,2705965327,1.5766450638443121,0.03361701965332031
Griewank,2,3031068439,78.78707302517587,0.030279159545898438
Griewank,2,3604736133,48.11964128097957,0.027418136596679688
Griewank,2,4223033236,19.262746145260888,0.025987625122070312
Griewank,5,3558786314,177.7161924120397,0.05221366882324219
Griewank,5,3966861029,169.3025983343978,0.05221366882324219
Griewank,5,2998612620,109.89145737949357,0.049591064453125
Griewank,5,3934006857,246.74294153387237,0.04935264587402344
Griewank,5,4030874546,162.18701670966067,0.04863739013671875
Griewank,10,2380711163,391.17891797271824,0.08702278137207031
Griewank,10,3017764793,376.52751685776025,0.08702278137207031
Griewank,10,2203233229,292.19347249802286,0.08630752563476562
Griewank,10,3357568523,404.76885014320385,0.08678436279296875
Griewank,10,2755370534,327.8083366823718,0.08702278137207031
