Función,Dimensión,Semilla,f(x),Tiempo
TenthPower,2,3165640303,7.893031951498211,0.021696090698242188
TenthPower,2,2554387805,12642967.9218507,0.0133514404296875
TenthPower,2,2169960992,314266.027088212,0.009059906005859375
TenthPower,2,3997183887,0.0015916283292624523,0.008344650268554688
TenthPower,2,2891779996,1276772.9472227257,0.008344650268554688
TenthPower,5,3134935928,1973573.0996157154,0.01239776611328125
TenthPower,5,2311096617,12535817.915703785,0.011444091796875
TenthPower,5,3753436524,1205300.0702693046,0.011444091796875
TenthPower,5,3152330312,4045140.2494089557,0.011920928955078125
TenthPower,5,2199485425,269860.29402615555,0.011682510375976562
TenthPower,10,2758777581,1802301.1081291228,0.018596649169921875
TenthPower,10,2358792524,8476380.613167673,0.018596649169921875
TenthPower,10,4220328293,16572076.613214368,0.01811981201171875
TenthPower,10,2176363471,14402872.125122512,0.007867813110351562
TenthPower,10,3865215705,39644635.88751106,0.007867813110351562
